filename,bbox,brob,count_zero,erorr,mean_height,mean_height_nonzero,diff
rgb_20210812_000000_dummy_1824R7_20210812071208Z_end.jpg,"[364, 160, 192, 88]",11232,0,0.0,250.15,250.15,0.0
rgb_20210812_000000_dummy_1824R7_20210812071208Z_end.jpg,"[112, 144, 192, 188]",14512,0,0.0,676.59,676.59,0.0
rgb_20210812_000000_dummy_1824R7_20210812071208Z_end.jpg,"[380, 236, 212, 92]",13248,0,0.0,219.52,219.52,0.0
rgb_20210812_000000_dummy_1824R7_20210812071208Z_end.jpg,"[204, 180, 208, 156]",14576,0,0.0,235.81,235.81,0.0
rgb_20210812_000000_dummy_1824R7_20210812070704Z.jpg,"[376, 204, 196, 112]",13520,0,0.0,233.58,233.58,0.0
rgb_20210812_000000_dummy_1824R7_20210812070704Z.jpg,"[328, 84, 232, 84]",13360,0,0.0,554.84,554.84,0.0
rgb_20210812_000000_dummy_1824R7_20210812070704Z.jpg,"[184, 184, 200, 152]",14256,0,0.0,234.66,234.66,0.0
rgb_20210812_000000_dummy_1824R7_20210812070159Z.jpg,"[368, 192, 224, 112]",14416,0,0.0,218.27,218.27,0.0
rgb_20210812_000000_dummy_1824R7_20210812070159Z.jpg,"[320, 84, 224, 92]",12304,0,0.0,619.62,619.62,0.0
rgb_20210812_000000_dummy_1824R7_20210812070159Z.jpg,"[404, 292, 124, 180]",13024,0,0.0,229.62,229.62,0.0
rgb_20210812_000000_dummy_1824R7_20210812070159Z.jpg,"[148, 120, 164, 204]",13232,0,0.0,634.55,634.55,0.0
rgb_20210812_000000_dummy_1824R7_20210812065654Z.jpg,"[296, 132, 168, 176]",12496,0,0.0,639.81,639.81,0.0
rgb_20210812_000000_dummy_1824R7_20210812065151Z.jpg,"[312, 128, 124, 172]",11088,0,0.0,378.25,378.25,0.0
rgb_20210812_000000_dummy_1824R7_20210812065151Z.jpg,"[164, 128, 144, 208]",13072,0,0.0,615.81,615.81,0.0
rgb_20210812_000000_dummy_1824R7_20210812064647Z.jpg,"[264, 128, 152, 184]",11504,0,0.0,501.38,501.38,0.0
rgb_20210812_000000_dummy_1824R7_20210812064144Z.jpg,"[112, 140, 208, 124]",11360,0,0.0,556.58,556.58,0.0
rgb_20210812_000000_dummy_1824R7_20210812064144Z.jpg,"[176, 208, 216, 152]",14576,0,0.0,232.17,232.17,0.0
rgb_20210812_000000_dummy_1824R7_20210812063640Z.jpg,"[340, 116, 212, 100]",12080,0,0.0,585.88,585.88,0.0
rgb_20210812_000000_dummy_1824R7_20210812063640Z.jpg,"[272, 148, 160, 180]",13792,0,0.0,252.5,252.5,0.0
rgb_20210812_000000_dummy_1824R7_20210812063640Z.jpg,"[412, 268, 124, 204]",12880,0,0.0,247.16,247.16,0.0
rgb_20210812_000000_dummy_1824R7_20210812063137Z.jpg,"[32, 252, 200, 128]",12864,0,0.0,208.84,208.84,0.0
rgb_20210812_000000_dummy_1824R7_20210812063137Z.jpg,"[304, 144, 120, 192]",13696,0,0.0,256.78,256.78,0.0
rgb_20210812_000000_dummy_1824R7_20210812063137Z.jpg,"[328, 112, 192, 136]",12224,0,0.0,585.21,585.21,0.0
rgb_20210812_000000_dummy_1824R7_20210812062633Z.jpg,"[356, 280, 228, 112]",13648,0,0.0,560.93,560.93,0.0
rgb_20210812_000000_dummy_1824R7_20210812062633Z.jpg,"[368, 108, 136, 212]",14144,0,0.0,222.5,222.5,0.0
rgb_20210812_000000_dummy_1824R7_20210812062633Z.jpg,"[32, 252, 192, 132]",12912,0,0.0,211.61,211.61,0.0
rgb_20210812_000000_dummy_1824R7_20210812062128Z.jpg,"[192, 124, 112, 240]",13376,0,0.0,669.29,669.29,0.0
rgb_20210812_000000_dummy_1824R7_20210812062128Z.jpg,"[336, 108, 172, 224]",14912,0,0.0,220.45,220.45,0.0
rgb_20210812_000000_dummy_1824R7_20210812062128Z.jpg,"[32, 252, 176, 136]",12240,0,0.0,216.93,216.93,0.0
rgb_20210812_000000_dummy_1824R7_20210812061625Z.jpg,"[100, 160, 172, 168]",12320,0,0.0,263.64,263.64,0.0
rgb_20210812_000000_dummy_1824R7_20210812061625Z.jpg,"[256, 120, 112, 216]",12816,0,0.0,617.42,617.42,0.0
rgb_20210812_000000_dummy_1824R7_20210812061121Z.jpg,"[316, 112, 220, 104]",13600,0,0.0,558.8,558.8,0.0
rgb_20210812_000000_dummy_1824R7_20210812061121Z.jpg,"[120, 136, 136, 180]",12528,0,0.0,252.72,252.72,0.0
rgb_20210812_000000_dummy_1824R7_20210812061121Z.jpg,"[252, 128, 116, 212]",12544,0,0.0,620.54,620.54,0.0
rgb_20210812_000000_dummy_1824R7_20210812060616Z.jpg,"[196, 192, 136, 192]",11296,0,0.0,611.38,611.38,0.0
rgb_20210812_000000_dummy_1824R7_20210812060616Z.jpg,"[300, 136, 172, 164]",11888,0,0.0,599.88,599.88,0.0
rgb_20210812_000000_dummy_1824R7_20210812060111Z.jpg,"[32, 112, 200, 180]",16304,0,0.0,240.32,240.32,0.0
rgb_20210812_000000_dummy_1824R7_20210812060111Z.jpg,"[212, 144, 120, 184]",12304,0,0.0,399.96,399.96,0.0
rgb_20210812_000000_dummy_1824R7_20210812060111Z.jpg,"[336, 108, 204, 112]",12352,0,0.0,586.33,586.33,0.0
rgb_20210812_000000_dummy_1824R7_20210812060111Z.jpg,"[312, 260, 196, 152]",14096,0,0.0,237.54,237.54,0.0
rgb_20210812_000000_dummy_1824R7_20210812055607Z.jpg,"[368, 172, 208, 148]",14080,0,0.0,189.37,189.37,0.0
rgb_20210812_000000_dummy_1824R7_20210812055607Z.jpg,"[288, 144, 88, 184]",10944,0,0.0,395.18,395.18,0.0
rgb_20210812_000000_dummy_1824R7_20210812055102Z.jpg,"[320, 112, 92, 192]",10288,0,0.0,316.22,316.22,0.0
rgb_20210812_000000_dummy_1824R7_20210812055102Z.jpg,"[144, 128, 184, 156]",11952,0,0.0,601.55,601.55,0.0
rgb_20210812_000000_dummy_1824R7_20210812054558Z.jpg,"[336, 112, 168, 160]",12304,0,0.0,649.62,649.62,0.0
rgb_20210812_000000_dummy_1824R7_20210812054558Z.jpg,"[248, 144, 100, 184]",10912,0,0.0,447.2,447.2,0.0
rgb_20210812_000000_dummy_1824R7_20210812054054Z.jpg,"[80, 104, 136, 204]",15728,0,0.0,255.22,255.22,0.0
rgb_20210812_000000_dummy_1824R7_20210812054054Z.jpg,"[312, 120, 112, 180]",10368,0,0.0,500.18,500.18,0.0
rgb_20210812_000000_dummy_1824R7_20210812054054Z.jpg,"[240, 120, 104, 196]",12048,0,0.0,508.1,508.1,0.0
rgb_20210812_000000_dummy_1824R7_20210812053550Z.jpg,"[84, 136, 212, 192]",14304,0,0.0,653.39,653.39,0.0
rgb_20210812_000000_dummy_1824R7_20210812053550Z.jpg,"[288, 124, 92, 176]",10400,0,0.0,458.07,458.07,0.0
rgb_20210812_000000_dummy_1824R7_20210812053045Z.jpg,"[252, 180, 204, 140]",14528,0,0.0,218.35,218.35,0.0
rgb_20210812_000000_dummy_1824R7_20210812053045Z.jpg,"[400, 288, 204, 80]",11312,0,0.0,250.71,250.71,0.0
rgb_20210812_000000_dummy_1824R7_20210812053045Z.jpg,"[172, 128, 148, 200]",14032,0,0.0,614.58,614.58,0.0
rgb_20210812_000000_dummy_1824R7_20210812052541Z.jpg,"[40, 272, 180, 196]",16464,0,0.0,224.03,224.03,0.0
rgb_20210812_000000_dummy_1824R7_20210812052541Z.jpg,"[400, 228, 180, 144]",12400,0,0.0,214.99,214.99,0.0
rgb_20210812_000000_dummy_1824R7_20210812052036Z.jpg,"[184, 128, 140, 168]",10368,0,0.0,599.6,599.6,0.0
rgb_20210812_000000_dummy_1824R7_20210812051532Z.jpg,"[332, 108, 220, 84]",11104,0,0.0,572.57,572.57,0.0
rgb_20210812_000000_dummy_1824R7_20210812051532Z.jpg,"[240, 128, 72, 208]",10624,0,0.0,636.56,636.56,0.0
rgb_20210812_000000_dummy_1824R7_20210812051027Z.jpg,"[332, 104, 156, 164]",12320,0,0.0,620.71,620.71,0.0
rgb_20210812_000000_dummy_1824R7_20210812050522Z.jpg,"[312, 100, 232, 88]",13152,0,0.0,575.98,575.98,0.0
rgb_20210812_000000_dummy_1824R7_20210812050522Z.jpg,"[304, 164, 196, 92]",9936,0,0.0,252.87,252.87,0.0
